ENCOUNTER ,ENCOUNTER #,DATE,MONTH,D_PERIOD,TIME,HUMAN DETECTOR ,RESEARCH TEAM,GROUP ID,"LOCATION METHOD (AUD, VIS)","VEG. DENSITY (O, D)",END TIME,DURATION ,DURATION MIN,Max-min Dist. ,"ENCOUNTER TYPE          (IG,MO,FL,TH,AV)"
52,KG16901,9/16/2014,SEPT,3,10:51,PH,"KT,PH",G,VIS,O,11:54,1:03,63,14,IG
53,KG18901,9/18/2014,SEPT,3,11:31,PH,"KT,PH", G,VIS,O,12:21,0:50,50,14,IG
54,KG18902,9/18/2014,SEPT,3,2:47,PH,"KT,PH",G,AUD,D,5:35,2:48,168,14,IG
55,KG30901,9/30/2014,SEPT,3,9:30,PH,"KT,PH",G,AUD,D,11:34,2:04,124,11,IG
56,KG21001,10/2/2014,OCT,3,7:08,KT,"KT,HE",G,AUD ,D,8:42,1:34,94,14,IG
57,KG31001,10/3/2014,OCT,4,7:56,HE,"KT,HE",G,VIS,D,10:30,2:34,154,14,IG
58,KG31002,10/3/2014,OCT,4,10:40,HE,"KT,HE",G,VIS,D,11:38,0:58,58,14,IG
59,KG81001,10/8/2014,OCT,4,4:00,HE,"KT,HE",G,/,/,5:52,1:52,112,11,IG
60,KG91001,10/9/2014,OCT,4,6:50,KT,"KT,PH",G,AUD,D,6:58,0:08,8,36,IG
61,KG91002,10/9/2014,OCT,4,10:19,PH,"KT,PH",G,VIS,O,10:47,0:28,28,32,IG
62,KG91003,10/9/2014,OCT,4,11:45,KT,"KT,PH",G,VIS,D,12:05,0:20,20,22,IG
63,KG101001,10/10/2014,OCT,4,8:28,HE,"KT,HE",G,AUD ,D,9:53,1:25,85,14,IG
64,KG101002,10/10/2014,OCT,4,10:10,HE,"KT,HE",G,VIS,O,11:41,1:31,91,14,IG
65,KG111001,10/11/2014,OCT,4,9:08,AA,"KT,HE,AA",G,VIS,O,12:25,3:17,107,14,IG
66,KG151001,10/15/2014,OCT,4,3:37,HE,"KT,HE",G,AUD ,D,5:40,2:03,123,20,IG
67,KG161001,10/16/2014,OCT,4,7:38,PH,"KT,PH",G,AUD ,D,10:10,2:32,152,22,IG
68,KG181001,10/18/2014,OCT,4,7:05,HE,"KT,HE,AA",G,VIS,D,8:28,1:23,83,5,IG
69,KG181002,10/18/2014,OCT,4,9:02,HE,"KT,HE,AA",G,VIS,O,9:20,0:18,18,14,MO
70,KG181003,10/18/2014,OCT,4,9:36,KT,"KT,HE,AA",G,VIS,D,9:38,0:02,2,22,FL
71,KG181004,10/18/2014,OCT,4,10:10,KT,"KT,HE,AA",G,VIS,D,12:00,1:50,110,5,LO/AV
72,KG211001,10/21/2014,OCT,5,6:50,KT,"KT,PH",G,VIS,D,11:56,5:06,306,10,IG
73,KG221001,10/22/2014,OCT,5,8:50,KT,"KT,HE,AZ",G,VIS,O,9:20,0:30,30,22,IG
74,KG221002,10/22/2014,OCT,5,9:53,KT,"KT,HE,AZ",G,VIS,D,12:04,2:11,131,10,IG
75,KG41101,11/4/2014,NOV,5,10:57,KT,"KT,PH",G,AUD ,D,11:16,0:19,19,14,IG
76,KG41102,11/4/2014,NOV,5,11:52,KT,"KT,PH",G,AUD,D,12:19,0:27,27,22,LO/AV
77,KG61101,11/6/2014,NOV,5,9:40,PH,"KT,PH",G,VIS,D,10:47,1:07,67,22,IG
78,KG71101,11/7/2014,NOV,5,2:26,KT,"KT,HE",G,VIS,O,2:33,0:07,7,28,LO/AV
79,KG71102,11/7/2014,NOV,5,3:02,HE,"KT,HE",G,AUD ,D,3:53,0:51,51,20,LO/AV
80,KG101101,11/10/2014,NOV,5,9:15,HE,"KT,HE",G,AUD ,D,12:00,2:45,165,14,IG
81,KG101102,11/10/2014,NOV,5,2:17,HE,"KT,HE",G,AUD,D,2:40,0:23,23,22,IG
82,KG111101,11/11/2014,NOV,5,7:33,KT,"KT,PH",G,AUD ,D,11:53,4:20,260,10,IG
83,KG121101,11/12/2014,NOV,5,3:43,HE,"KT,HE",G,AUD ,D,5:02,1:19,79,11,IG
